team_name,total_players,rank
LHETHA,1,216
MrRoqifi,1,217
noother,1,218
Fun With Flags,1,219
BitRot,1,220
PrivateUser,1,221
CyberBucs 2025,1,222
TheUnd3ad,1,223
__GoGo__,1,224
Cyber C@t@|y$t,3,225
portsniffer,1,226
f_so_ciety,1,227
ID.app,1,228
Digital_Dynamos,1,229
Myc0w0rrhizal Network :3,2,230
tiggy_kat,1,231
WaveRunners,1,232
paupau,1,233
rage-quit,1,234
broly_team,1,235
DefeatAI,1,236
GKTeam,1,237
GoldenPhoenix,1,238
SpiderShell,1,239
Paradigm,1,240
Vlatkovi minioni,1,241
Monty Hacker,1,242
Yakuza,1,243
"(Forgiveness, forgiveness)",1,244
INDEFICIENTER,1,245
League of Villains,1,246
anonsurf_binaries,1,247
Infinity007,1,248
JR,1,249
V1R4L,1,250
CypherFortune,1,251
US3RN4M3,1,252
Yang5,1,253
C!PH3RVIX3N,1,254
sepiol,1,255
I Runici,1,256
balrog,1,257
OPERACIONALIA,1,258
Team44,1,259
RedTeam123,1,260
NutellaBusiness,1,261
3al_allah_hakyto,1,262
Shakespeare,1,263
Despair,1,264
cka,1,265
didn't found any name,1,266
Old Guys,1,267
OtakuHunters,1,268
4Destructors,2,269
xd1v,1,270
h3llo,1,271
CryptX Panthers,1,272
Williloo,1,273
jai mahishmati,1,274
suji,1,275
martiancyberctfai,1,276
Xoryekani Seydawa,1,277
Coastline Xploit,1,278
Z3r0D4yHunt3rs,1,279
BULUT,2,280
MarcoTheBlack,1,281
bytemesecurity,1,282
一人芝居,1,283
灯塔哥,1,284
NoobStorm,1,285
max6001,1,286
Solo levelers,1,287
A Script Kitty,1,288
p80n,1,289
Never7,1,290
White_secs,1,291
esquilados,1,292
Legion Offensive Security,1,293
H1ayth,1,294
Shad0wGarden,2,295
Sud0ers,1,296
acalla,1,297
B41n4Xpl0it3r5,1,298
Codingal,1,299
Cyber Bull!es,1,300
Risuo,1,301
B_902,1,302
LowSk1ll,1,303
0xD4Y,2,304
Nameless003,1,305
CyberCoder5357,1,306
CAOS,1,307
cybfo,1,308
KryptosK,1,309
404brainNotFound,1,310
UAE Cyber Community,1,311
Have4Byte,1,312
Malware Busters,1,313
Omniforce,1,314
Bruteforce Brigade,1,315
TR|DEIMOS,1,316
darth,1,317
AtomicByte,1,318
Netology,1,319
pfapostol,1,320
shackspace,1,321
Team Aleph,1,322
44UN,1,323
Mustache,1,324
The Lone Wolf Pack,1,325
und3rd0gs,2,326
redFlaggers,1,327
Birds Aren't Real,1,328
wasabi tsuntsun,1,329
NU11_8Y735,1,330
TeamScottdecat,1,331
Ctrl Phreaks,1,332
BoxPwnr,1,333
Lovelace Poets,1,334
NoNeedTeam,1,335
solotom,1,336
"No DNA, Just RSA",1,337
CyPhars,1,338
Lord's of Eldoria,1,339
XB3,2,340
BuggyMen,1,341
koziny,1,342
Uniquo,1,343
Onepunchdude,1,344
Cumburger,1,345
angasaL s'dleifraG,1,346
4rg0nauts,1,347
[AI] BoxPwnr,1,348
Qawem,1,349
0xH3xSec,1,350
Boli_li,1,351
RADCOP,1,352
Wax#,1,353
Revengers@hakx,1,354
Cyberage,1,355
Gfg Cybersecurity KIIT,1,356
iav_ftw,1,357
FL_CyberOps,2,358
Dr.SqUiDGE,1,359
Nameless Hunters,2,360
Ctrl + Alt + Elite,1,361
CreeperCoders,1,362
Justfuntryit,1,363
WillByteyou,2,364
AO,1,365
Destructive_Duo,2,366
◤━☆.RAJ.☆━◥,1,367
Packet Whiffers,1,368
BitBandits,1,369
NewJoiner,1,370
Wermut99,1,371
ChiHak,1,372
The Exodus,1,373
Go BUSTER,1,374
bRed,1,375
Teset12345,1,376
HackManVirus,1,377
Hangar18,1,378
[AI] imperturbable,1,379
Homomorphic,1,380
Mischief Managed,1,381
SUPERhunter,1,382
RootTheWorld,1,383
Alderson0987,1,384
0x256H4x,1,385
Ayoub01_,1,386
UZL/THL,1,387
Hack4P,1,388
[AI] Palisade R&P C,1,389
[AI] Palisade R C,1,390
[AI] Palisade 1,1,391
[AI] Palisade 2,1,392
[AI] Palisade 4,1,393
Cyber_Def,1,394
L33tHax0rs,1,395
AntAntAnt,1,396
Sugar Beets,1,397
이게 뭐냐,1,398
TVK,1,399
charishma,1,400
Strugg1e,1,401
DVC,1,402
ttt123,1,403
